"","country","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi","births_best"
"1","Angola",3306.59078485652,0,7252.3942470774,1077.59431827913,0,2363.50348230647,1247958.6
"2","Bangladesh",3347.82005329484,0,6798.21214213262,1091.03064236841,0,2215.48877846286,3057196.6
"3","Brazil",642.040377509147,300.516732813015,983.564022205278,209.236373027534,97.9362566756701,320.536489379399,2895741.8
"4","Cambodia",432.589624565474,0,920.477265837105,140.977868719998,0,299.976966098699,366238.4
"5","Central African Republic",499.725231769098,0,1092.14466328662,162.856883567608,0,355.922144731801,165835.2
"6","China",4990.91136497048,2295.77341514107,7686.0493147999,1626.50236447699,748.176157612937,2504.82857134104,16346003.8
"7","Congo",446.154128062743,0,996.763144295794,145.398443520448,0,324.837988989254,180049.2
"8","Democratic People's Republic of Korea",1244.70070322522,654.065051265131,1835.33635518532,405.639068461792,213.155128314083,598.1230086095,352355.2
"9","Democratic Republic of the Congo",8347.86704838736,0,18314.4469017614,2720.51024344767,0,5968.54742780618,3431553.8
"10","Ethiopia",5184.62079968752,0,10583.5143682591,1689.63088561245,0,3449.09173608442,3295321.8
"11","India",35243.4737334121,0,74519.1623108548,11485.5963506209,0,24285.2627173768,25224048.4
"12","Indonesia",11659.3984921307,7693.71108375337,15625.0859005081,3799.7146871676,2507.32548711605,5092.10388721914,4882396.8
"13","Kenya",3179.92264215809,0,6923.92762773177,1036.31407534616,0,2256.45855725187,1547223.4
"14","Lesotho",218.072778589066,0,480.790398222802,71.0683608794723,0,156.686156563681,61429.8
"15","Liberia",336.742588736667,0,745.838542664087,109.742004365074,0,243.063453636064,162145.2
"16","Mozambique",4218.93345833935,0,9259.11331999472,1374.9202788338,0,3017.47889446256,1156673.8
"17","Myanmar",1578.09724048149,0,3236.06184555203,514.29061854977,0,1054.60944073794,942393
"18","Namibia",233.089696721288,33.2613518540311,432.918041588544,75.9622672350625,10.8396369881441,141.084897481981,72685.6
"19","Nigeria",11289.7368685896,0,24439.836588165,3679.24460449573,0,7964.76817382163,7381153
"20","Pakistan",10095.4367990683,0,21045.5550052692,3290.03074255351,0,6858.59605082435,5445105.8
"21","Papua New Guinea",494.231638280046,144.57554625464,843.887730305451,161.066560689479,47.116137841914,275.016983537044,226477.8
"22","Philippines",5624.88737882774,0,13183.8722991505,1833.11061899297,0,4296.52981177672,2419398
"23","Russian Federation",771.318433023543,0,1612.345997706,251.367167904994,0,525.452043895259,1780601.6
"24","Sierra Leone",672.906178696147,0,1456.46621932015,219.295317164369,0,474.6519375463,261515.6
"25","South Africa",4732.91465721761,0,9720.02907624229,1542.42308025395,0,3167.68804716825,1166728.4
"26","Thailand",496.692391643351,53.5593747802161,939.825408506485,161.868502633771,17.4546176739097,306.282387593631,688644.6
"27","United Republic of Tanzania",3467.91146165592,0,8662.61498873914,1130.16757455751,0,2823.08434900874,2189396.8
"28","Viet Nam",820.470513864018,267.316898344944,1373.62412938309,267.385479964613,87.1166677642005,447.654292165026,1558576.6
"29","Zambia",1785.4611876755,0,3794.41430312129,581.869047769248,0,1236.57251842792,655724.6
"30","Zimbabwe",799.290161531856,22.3489896871302,1576.23133337658,260.482954427792,7.28337610339512,513.682532752189,531101.2
"31","Total",126162.008416971,11465.1284438935,256334.503491243,41115.2973858878,3736.40346609031,83537.5837270567,89691674.4
