"V1","country","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi","births_best"
1,"Angola",5228.94172990755,0,11914.7608386442,2004.62277965619,0,4568.28836650274,1388038
2,"Bangladesh",5482.95674254813,0,11169.0060227489,2561.42545299007,0,5216.99546136904,2822181.4
3,"Brazil",1008.95021671331,486.848809604642,1531.05162382197,451.229129621906,217.615935626235,684.842323617578,2763320.4
4,"Cambodia",399.470080044973,0,869.087528854554,191.0047697345,0,415.490642307787,352156
5,"Central African Republic",985.157168331157,0,2173.44516586801,486.334623914236,0,1072.9401682307,175352.6
6,"China",5244.39819135475,2511.7460191121,7977.05036359739,2415.71535635485,1156.97976857481,3674.4509441349,15420030.6
7,"Ethiopia",5757.92791353596,0,12246.9057692435,2699.01140793203,0,5742.1965523331,3702692
8,"India",52262.3004080275,22103.449255227,82421.151560828,28108.8825009975,11888.7278583911,44329.0371436039,23941303.6
9,"Indonesia",16565.5109883302,9037.52997880708,24093.4919978534,7527.89747098923,4107.37808894376,10948.4168530347,4713825.4
10,"Kenya",2857.65266764456,0,6452.13565265447,1327.97830930478,0,2997.83660499227,1555955
11,"Lesotho",197.125474021546,0,443.508184575374,91.6946986154603,0,206.161352501302,54362.6
12,"Liberia",424.884538127756,0,945.351729125842,210.415949274807,0,467.733064688688,169917.6
13,"Mozambique",4384.04268686188,0,10000.1609821304,2097.7328181196,0,4780.2459595345,1206776.2
14,"Namibia",269.438553375331,0,592.362279859298,116.019383641413,0,254.968789847392,70209.8
15,"Nigeria",17986.4527201182,0,39020.7895264254,8471.3327048218,0,18377.2874218784,7916492.8
16,"Pakistan",13369.1503741492,0,27952.4689589958,5859.4002554881,0,12247.8038331543,6030381.8
17,"Papua New Guinea",1435.55182506209,351.376760040792,2519.72689008338,542.803676353651,132.789627643017,952.817725064285,242856.4
18,"Philippines",8116.49132124924,0,20159.0200838905,4220.60376460884,0,10483.1969760905,2216506.4
19,"Sierra Leone",787.661221724302,0,1745.00700172211,362.373028263829,0,803.042834242533,260712.2
20,"South Africa",4260.02512175952,0,9399.60629526974,2055.35685260331,0,4531.43877915001,1159679.2
21,"Thailand",579.544895481529,152.529081190813,1006.56070977225,242.883056295194,63.9787185455814,421.787394044806,667882
22,"Zambia",1537.43733055275,0,3427.67826077383,788.434463626855,0,1759.00236182739,690859.8
23,"Zimbabwe",889.888138302636,0,1858.84720615502,366.770074834197,0,766.151241393389,428810.6
24,"Total",150030.960307224,34643.4799039825,279919.174632893,73199.9225280423,17567.4699977245,135702.132793544,77950302.4
