FA,Full_study,site,year,country,Sample,ppYTBY,ppNTBY,ppYTBN,ppNTBN,or,selog,orlo,orhi,ppIRRm,selogIRR,ppIRRlo,ppIRRhi,pp_def,HIV,IRR,m,mlo,mhi
Crampin,Yes,,2004,Malawi,, 11 , 172 , 33 , 394 ,0.7,,0.2,1.9,,,,,,yes,no,0.7,0.2,1.9
Espinal,Yes,,1996,Santo Domingo,, 51 , 411 , 9 , 77 ,1.061638281,0.382281385,0.501847871,2.245851591,,,,,6mon,no,no,1.061638281,0.501847871,2.245851591
Keskin,Yes,,2008,Turkey,,,,,,,,,,,,,,,no,,,,
Odayar,Yes,,2018,South Africa,,,,,,,,,,0.22,,0.1,0.46,6mon,yes,yes,0.22,0.1,0.46
Rendell,Yes,,2016,Mongolia,,,,,,,,,,,,,,,no,yes,,,
Zenner,Yes,,2012,UK," 1,745,834 ", 22 ," 114,866 ", 133 ," 1,459,203 ",,,,,1.95,,1.24,3.07,6mon,no,yes,1.95,1.24,3.07
Fisher,Yes,,1994,,,,,,,,,,,,,,,,no,no,,,
Bothamley,No,1,2016,Belarus," 5,500 ", 6 , 13 ," 5,487 "," 1,000 ",,,,,0.336030915,0.408471154,0.150897335,0.748301989,,no,no,0.336030915,0.150897335,0.748301989
Bothamley,No,1,2016,Belgium, 143 , 5 , 12 , 131 ," 1,000 ",,,,,12.07729469,0.455243206,4.948331917,29.47681145,,no,no,12.07729469,4.948331917,29.47681145
Bothamley,No,1,2016,Italy," 1,860 ", 2 , 9 ," 1,851 "," 1,000 ",,,,,0.478411673,0.707487253,0.1195574,1.91437527,6mon,no,no,0.478411673,0.1195574,1.91437527
Bothamley,No,2,2016,Italy, 217 , 1 , 9 , 208 ," 1,000 ",,,,,1.026430588,1.415845662,0.06399373,16.4634839,,no,no,1.026430588,0.06399373,16.4634839
Bothamley,No,3,2016,Italy, 103 , 1 , 9 , 94 ," 1,000 ",,,,,4.357298475,1.004890005,0.607907735,31.23179538,,no,no,4.357298475,0.607907735,31.23179538
Bothamley,No,0,2016,Italy," 2,180 ", 3 , 9 ," 2,171 "," 1,000 ",,,,,0.612463635,0.577747939,0.197374632,1.90050616,,no,no,0.612463635,0.197374632,1.90050616
Bothamley,No,1,2016,Serbia," 1,353 ", 1 , 9 ," 1,344 "," 1,000 ",,,,,0.328731098,1.000369754,0.046270998,2.335461519,6mon,no,no,0.328731098,0.046270998,2.335461519
Bothamley,No,1,2016,Slovakia," 1,197 ", 21 , 11 ," 1,186 "," 1,000 ",,,,,6.493506494,0.220157643,4.217715777,9.997266012,,no,no,6.493506494,4.217715777,9.997266012
Bothamley,No,1,2016,Spain," 1,946 ", 5 , 10 ," 1,936 "," 1,000 ",,,,,1.030396703,0.447789234,0.428389255,2.478394014,,no,no,1.030396703,0.428389255,2.478394014
Bothamley,No,2,2016,Spain, 374 , 2 , 10 , 364 ," 1,000 ",,,,,2.150537634,0.709005058,0.535833372,8.631063986,,no,no,2.150537634,0.535833372,8.631063986
Bothamley,No,0,2016,Spain," 2,320 ", 7 , 10 ," 2,310 "," 1,000 ",,,,,1.21054907,0.378535972,0.576455881,2.542135659,,no,no,1.21054907,0.576455881,2.542135659
Bothamley,No,1,2016,Ukraine, 500 , 35 , 11 , 489 ," 1,000 ",,,,,27.37047898,0.175276827,19.41260198,38.59055683,,no,no,27.37047898,19.41260198,38.59055683
Bothamley,No,1,2016,United Kingdom," 1,774 ", 20 , 18 ," 1,756 "," 1,000 ",,,,,2.533890789,0.224878023,1.630676659,3.937385439,,no,no,2.533890789,1.630676659,3.937385439
Bothamley,No,1,2016,USA, 250 , 5 , 13 , 237 ," 1,000 ",,,,,6.279434851,0.451753951,2.590477547,15.22163436,,no,no,6.279434851,2.590477547,15.22163436
Nordholm,Yes,,2022,Denmark," 2,708 ", 286 ," 2,316 "," 6,514 ",,,,,,,,,,,,,,,
Jonsson,Yes,,2022,Sweden," 4,838,834 ", 79 , 389 ," 456,023 "," 4,382,343 ",,,,,1.9,,1.5,2.5,6mon,no,yes,1.9,1.5,2.5
