"","country","pregTBI_best","pregTBIwidthSq","ppTBI_best","ppTBIwidthSq","pregTBI_lo","pregTBI_hi","ppTBI_lo","ppTBI_hi"
"1","Angola",3192.94620042159,20892036.1616018,1040.55835995882,2218862.81698772,907.555852931592,5478.33654791159,295.765969928599,1785.35074998904
"2","Bangladesh",3326.61205804145,20185795.9212585,1084.11910820101,2143855.75702301,1080.18178306859,5573.0423330143,352.023527517889,1816.21468888412
"3","Brazil",643.914564040841,193106.446896394,209.847157031167,20509.0931024969,424.195170895633,863.633957186049,138.24217622938,281.452137832954
"4","Cambodia",433.850738009837,400192.979001445,141.388856583563,42502.9572923051,117.546699543109,750.154776476565,38.3076297618166,244.470083405309
"5","Central African Republic",488.247619834026,474123.651977591,159.11641182091,50354.8497566283,143.964432625592,832.530807042461,46.9169802753046,271.315843366516
"6","China",5060.27362301093,13336221.7169819,1649.10702892767,1416388.82194269,3234.33402125915,6886.21322476272,1054.04635514249,2244.16770271285
"7","Congo",436.028352005799,413796.620987599,142.098525430461,43947.7477926283,114.39322449809,757.663479513507,37.2799347694669,246.917116091455
"8","Democratic People's Republic of Korea",1239.29205356714,1064973.28177232,403.876428171434,113106.71672841,723.304340105781,1755.2797670285,235.719717980902,572.033138361966
"9","Democratic Republic of the Congo",8067.02104837557,133024846.009805,2628.98453808668,14128057.3259377,2300.20117062221,13833.8409261289,749.619131497417,4508.34994467594
"10","Ethiopia",5013.26604005195,40434112.7508881,1633.78759340979,4294351.61928975,1833.87487385015,8192.65720625375,597.646722281523,2669.92846453805
"11","India",34994.9644923712,2753953317.89012,11404.6089640317,292486791.116001,8755.90335305965,61234.0256316828,2853.48636059533,19955.731567468
"12","Indonesia",11615.6726771458,24113717.8952938,3785.46475639125,2561025.24442006,9160.3866502594,14070.9587040321,2985.30457798632,4585.62493479619
"13","Kenya",3104.19721831957,20958049.1442185,1011.63570061307,2225873.80200774,815.199121759716,5393.19531487941,265.667570930622,1757.60383029552
"14","Lesotho",214.23096315074,98456.922037087,69.8163406696607,10456.7310573907,57.3417330892988,371.120193212181,18.6872612299947,120.945420109327
"15","Liberia",327.568906696359,219760.019702407,106.752366914438,23339.8665695577,93.1760635342828,561.961749858436,30.3654135625118,183.139320266365
"16","Mozambique",4087.52148516311,31888734.0794737,1332.09405543262,3386779.81324767,1264.01594773833,6911.02702258789,411.933768682579,2252.25434218266
"17","Myanmar",1563.06415641354,4117266.94659847,509.391443831199,437279.088775973,548.511675439978,2577.61663738711,178.75603708535,840.026850577049
"18","Namibia",227.110975877582,60621.7789702379,74.0138448172476,6438.4060134805,104.003523858788,350.218427896375,33.8940055432659,114.133684091229
"19","Nigeria",10996.6748760085,229423337.231549,3583.73779441347,24366170.3624626,3423.31140210288,18570.0383499141,1115.63273372103,6051.84285510592
"20","Pakistan",9929.36129320559,186886495.884652,3235.90792144646,19848496.0253769,3094.03950332891,16764.6830830823,1008.32537385273,5463.4904690402
"21","Papua New Guinea",483.792034193233,161264.049425236,157.664368286188,17127.2345222234,283.003557541039,684.580510845428,92.2288379486421,223.099898623733
"22","Philippines",5539.68682328347,78331272.6466626,1805.34436651649,8319263.2321043,1114.43901534484,9964.9346312221,363.187714822202,3247.50101821077
"23","Russian Federation",786.040727778691,1578407.79162546,256.165058606448,167636.621523678,157.86722634269,1414.21422921469,51.4478014420375,460.882315770859
"24","Sierra Leone",656.031610310967,938599.665787544,213.79601586027,99685.0609650395,171.624842762364,1140.43837785957,55.9313103645204,371.66072135602
"25","South Africa",4688.08080360811,41183401.5220341,1527.81204760443,4373930.69816087,1479.36604836598,7896.79555885024,482.114828262129,2573.50926694673
"26","Thailand",500.191741214022,316408.989426149,163.008915663498,33604.5819645238,218.940523693925,781.44295873412,71.3511528109665,254.66667851603
"27","United Republic of Tanzania",3354.79773659228,46138773.4380314,1093.30461951445,4900221.6926672,-41.4786596257709,6751.07413281033,-13.5175988958983,2200.12683792479
"28","Viet Nam",821.390534591477,627968.391508856,267.685308148115,66694.1079071807,425.168251173174,1217.61281800978,138.559296141258,396.811320154973
"29","Zambia",1727.16853177949,5785060.87596597,562.871887588851,614409.068240247,524.56085718586,2929.77620637312,170.950636493606,954.793138684096
"30","Zimbabwe",780.809409593757,877132.118253429,254.460209376537,93156.8291249307,312.532750381111,1249.0860688064,101.852190972416,407.068227780659
"31","Total",124299.809294657,3658077252.82251,40508.4199933479,388510317.288966,94058.7889215668,154540.829667746,30653.0874610463,50363.7525256494
